route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order
IDFM:C01371,IDFM:Operator_100,1,Château de Vincennes - La Défense (Grande Arche),,1,,FFCD00,000000,
IDFM:C01286,IDFM:Operator_100,322,Bobigny Pablo Picasso - Mairie de Montreuil,,3,,82C8E6,000000,
IDFM:C01153,IDFM:Operator_100,124,Val de Fontenay - Château de Vincennes,,3,,FF82B4,000000,
IDFM:C00173,IDFM:1027,18,Dourdan - Champarts,,3,,F5A162,000000,
IDFM:C00391,IDFM:75,314,314,,3,,E2001A,FFFFFF,
IDFM:C00040,IDFM:65,36,36,,3,,FF8C9E,000000,
IDFM:C00088,IDFM:37,3,Petits Champs - Sainte-Geneviève-des-Bois,,3,,BF59E5,000000,
IDFM:C02049,IDFM:59,30-21Oues,30-21Ouest,,3,,EF844E,000000,
IDFM:C02267,IDFM:Operator_014,T'bus 3,T'bus 3,,3,,0064B0,FFFFFF,
IDFM:C00921,IDFM:63,31S,31S,,3,,403E97,FFFFFF,
IDFM:C01590,IDFM:184,627,Aulnay-sous-Bois - Garonor,,3,,9F9825,FFFFFF,
IDFM:C00703,IDFM:65,12,12,,3,,FF8C57,000000,
IDFM:C00836,IDFM:78,50,Lieusaint - Moissy - Évry - Courcouronnes,,3,,1AC7FF,000000,
IDFM:C00969,IDFM:Operator_068,68.14,68.14,,3,,BE418E,FFFFFF,
IDFM:C01372,IDFM:Operator_100,2,Porte Dauphine - Nation,,1,,003CA6,FFFFFF,
IDFM:C01154,IDFM:Operator_100,125,École Vétérinaire de Maisons-Alfort - Porte d'Orléans,,3,,0055C8,FFFFFF,
IDFM:C01949,IDFM:1052,A,Hôpital François Quesnay - Fosses Rouge,,3,,C20E1A,FFFFFF,
IDFM:C00174,IDFM:263,19,Le Perray - Le Perray,,3,,F5A488,000000,
IDFM:C01287,IDFM:Operator_100,323,Châtillon-Montrouge - Gambetta,,3,,D2D200,000000,
IDFM:C00392,IDFM:75,305,Juvisy - Bois des Coudraies,,3,,660000,FFFFFF,
IDFM:C01816,IDFM:Operator_014,R114,R114,,3,,FECE00,000000,
IDFM:C02133,IDFM:6,9,9,,3,,19B200,FFFFFF,
IDFM:C02000,IDFM:Operator_100,259,Saint-Germain-en-Laye - Anatole France,,3,,3C91DC,FFFFFF,
IDFM:C02351,IDFM:Operator_010,51,51,,3,,FF9900,000000,
IDFM:C00837,IDFM:78,51,Villaroche Nord - Lieusaint - Moissy,,3,,9B9BCD,000000,
