route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
IDFM:C00009,IDFM:1,IDFM:N4_MOBILITES:22023-C00009-13595150,Gare de Gretz,,0,,,2,0
IDFM:C00009,IDFM:1,IDFM:N4_MOBILITES:22023-C00009-13595146,Gare de Tournan en Brie (côté Gretz),,0,,,2,0
IDFM:C00012,IDFM:100,IDFM:N4_MOBILITES:1424-C00012-11382678,Gare de Tournan en Brie (côté guichet) 2,,0,,,2,0
IDFM:C00032,IDFM:1,IDFM:N4_MOBILITES:22023-C00032-13595985,Gare de Pontault (Square A. Rodrigues),,1,,,2,0
IDFM:C00555,IDFM:10000,IDFM:SITUS:16999-C00555-13441757,Les Monrois,,0,,,2,0
IDFM:C01076,IDFM:100000,IDFM:RATP:8588-C01076-89_3680720_2549489,NATION - TRONE,,1,,,1,0
IDFM:C01076,IDFM:100000,IDFM:RATP:8588-C01076-88_3680720_2549489,NATION - TRONE,,1,,,1,0
IDFM:C01076,IDFM:100000,IDFM:RATP:8588-C01076-87_3680720_2549489,NATION - TRONE,,1,,,1,0
IDFM:C01076,IDFM:100000,IDFM:RATP:8588-C01076-86_3680720_2549489,NATION - TRONE,,1,,,1,0
IDFM:C01076,IDFM:100000,IDFM:RATP:8588-C01076-85_3680720_2549489,NATION - TRONE,,1,,,1,0
IDFM:C01076,IDFM:100000,IDFM:RATP:8588-C01076-84_3680720_2549489,NATION - TRONE,,1,,,1,0
IDFM:C01076,IDFM:100000,IDFM:RATP:8588-C01076-83_3680720_2549489,NATION - TRONE,,1,,,1,0
IDFM:C01076,IDFM:100000,IDFM:RATP:8588-C01076-82_3680720_2549489,NATION - TRONE,,1,,,1,0
IDFM:C01076,IDFM:100000,IDFM:RATP:8588-C01076-81_3680720_2549489,NATION - TRONE,,1,,,1,0
IDFM:C01076,IDFM:100000,IDFM:RATP:8588-C01076-80_3680720_2549489,NATION - TRONE,,1,,,1,0
IDFM:C00555,IDFM:10000,IDFM:SITUS:16999-C00555-13441756,Les Monrois,,0,,,2,0
IDFM:C01076,IDFM:100000,IDFM:RATP:8588-C01076-79_3680720_2549489,NATION - TRONE,,1,,,1,0
IDFM:C01076,IDFM:100000,IDFM:RATP:8588-C01076-78_3680720_2549489,NATION - TRONE,,1,,,1,0
IDFM:C01076,IDFM:100000,IDFM:RATP:8588-C01076-77_3680720_2549489,NATION - TRONE,,1,,,1,0
IDFM:C01076,IDFM:100000,IDFM:RATP:8588-C01076-76_3680720_2549489,NATION - TRONE,,1,,,1,0
IDFM:C01076,IDFM:100000,IDFM:RATP:8588-C01076-75_3680720_2549489,NATION - TRONE,,1,,,1,0
IDFM:C01076,IDFM:100000,IDFM:RATP:8588-C01076-74_3680720_2549489,NATION - TRONE,,1,,,1,0
IDFM:C01076,IDFM:100000,IDFM:RATP:8588-C01076-73_3680720_2549489,NATION - TRONE,,1,,,1,0
